Topic,Words
Topic 40,"melania: 0.1392, lady: 0.05354, wife: 0.02307, jewelry: 0.0228, timepiece: 0.02008, hanukkah: 0.01618, barbara: 0.01596, first: 0.01352, celebration: 0.01216, condolence: 0.01201"
Topic 41,"discussing: 0.08516, interview: 0.07251, segment: 0.01423, german: 0.01232, yesterday: 0.01149, hiring: 0.0108, wmur: 0.00909, filing: 0.00869, dick: 0.00869, option: 0.0085"
Topic 42,"florida: 0.08645, tampa: 0.06163, orlando: 0.05346, pensacola: 0.03224, miami: 0.02566, jacksonville: 0.02457, sanford: 0.02247, join: 0.01363, ticket: 0.01304, sarasota: 0.01234"
Topic 43,"pence: 0.16236, mike: 0.10279, vice: 0.02613, kaine: 0.02052, stroke: 0.0122, mate: 0.00997, airline: 0.00925, hamilton: 0.00789, leadership: 0.0078, mini: 0.00624"
Topic 44,"hotel: 0.09038, luxury: 0.04504, dining: 0.0401, room: 0.03928, guestroom: 0.0371, restaurant: 0.0326, suite: 0.03216, tripadvisor: 0.02748, star: 0.02699, honolulu: 0.02531"
Topic 45,"unit: 0.05235, state: 0.02819, instruct: 0.00938, next: 0.00732, regulation: 0.00673, difficult: 0.00666, specific: 0.00646, britain: 0.00646, president: 0.00636, excuse: 0.00582"
Topic 46,"yankee: 0.1746, derek: 0.07698, jeter: 0.06621, baseball: 0.03957, babe: 0.03607, pitcher: 0.03156, steinbrenner: 0.03072, contract: 0.03071, ruth: 0.0304, mariano: 0.02633"
Topic 47,"flynn: 0.18072, general: 0.03588, kislyak: 0.02912, michael: 0.02622, sullivan: 0.02429, techno: 0.0187, case: 0.01563, unmasking: 0.01241, document: 0.01185, sidney: 0.01065"
Topic 48,"country: 0.03675, need: 0.01427, trouble: 0.01355, move: 0.01169, around: 0.0089, someday: 0.00853, turn: 0.00838, morgan: 0.00799, screw: 0.00791, rescue: 0.00761"
Topic 49,"executive: 0.04479, secretary: 0.02918, acting: 0.023, order: 0.02245, pleas: 0.01575, whitehouse: 0.01397, service: 0.01329, announce: 0.01307, advisor: 0.01293, protect: 0.01276"
Topic 50,"entrepreneur: 0.14266, young: 0.03243, goal: 0.02268, focus: 0.02224, identify: 0.0216, significance: 0.02147, everything: 0.01966, effort: 0.01948, opportunity: 0.01929, either: 0.01749"
Topic 51,"white: 0.06627, house: 0.04268, dinner: 0.01336, comedian: 0.01285, bachelor: 0.00708, turkish: 0.00708, mick: 0.00689, staff: 0.00679, briefing: 0.00671, chief: 0.00667"
Topic 52,"email: 0.12182, acid: 0.03948, clinton: 0.03293, wash: 0.03231, mail: 0.03013, server: 0.02759, hillary: 0.02719, crook: 0.02533, subpoena: 0.02052, huma: 0.01345"
Topic 53,"warming: 0.16543, global: 0.14623, climate: 0.08152, freezing: 0.06538, cold: 0.0432, coldest: 0.04166, temperature: 0.0362, weather: 0.03438, snow: 0.03186, snowing: 0.02815"
Topic 54,"economy: 0.04639, fastest: 0.02322, economic: 0.02022, booming: 0.01772, number: 0.01568, companie: 0.01377, davo: 0.01256, employment: 0.01202, growing: 0.01099, record: 0.01032"
Topic 55,"doral: 0.1693, miami: 0.06477, monster: 0.04008, blue: 0.03409, national: 0.02894, renovation: 0.02597, resort: 0.01983, construction: 0.01631, contractor: 0.01435, complet: 0.01097"
